meeting,start,end,speaker,text
EN2001a,495.14,503.9,Speaker_1,"don't even need to do that because we got our information density calculated offline. So all we do is treat the whole lot as one massive document. I mean, no, it's not really so big."
EN2001a,504.1,519.18,Speaker_2,"We can't load in a information density for the astronauts. I mean, just summarize based on that. I thought we would just have like one big summary and we're only different importance"
EN2001a,519.18,556.3,Speaker_0,"levels. This play done it and depending on what our zoom level is, we just display a part of it. So are we doing that at all levels are we? I mean, we would have one very big thing offline and from that we would just select what we are displaying and just have different like fine grain thickness levels sort of. Yes. So for example, you would give a high value to those sequences you want to display in the meeting series summary. So the only thing that. Yeah, so the only thing that would happen basically if I"
EN2001a,556.3,563.84,Speaker_4,double click let's say from the whole meeting series on a single meeting is that the zoom level changes like the start in the end position
EN2001a,563.84,573.02,Speaker_2,changes and the zoom level changes. That was what I thought I thought we couldn't do that. I was under the impression that we couldn't do that because we couldn't load
EN2001a,573.02,579.06,Speaker_4,"the data for all that. But I don't know, I mean that. I"
EN2001a,579.06,585.06,Speaker_2,don't think there's really much point in like that when it's just going to feed off in the end the information density
EN2001a,585.06,593.88,Speaker_1,measure basically and that's all calculated offline. So all you're really doing is sorting the list. It's the computation hard
EN2001a,593.88,600.12,Speaker_2,"part of it. So I'm not sure if I got it. Well, like the ideas we're"
EN2001a,600.12,608.96,Speaker_1,"calculating our information density all offline first, ready options in the whole core. So all you do is you say if you're looking at a series"
EN2001a,608.96,615.16,Speaker_2,"of meetings you say well, our whole document comprises of all these who's done together and"
EN2001a,615.16,623.88,Speaker_1,"then all you have to do is sort of. And by information density, maybe weighted research times. So I"
EN2001a,623.88,636.28,Speaker_2,"think it's just like the online. I was just worried about the total memory complexity of it, but I could really admit I just sort of like took that from something that Jonathan"
EN2001a,636.28,640.36,unknown,"once said about not loading everything, but maybe I was just wrong about it. I think the"
EN2001a,640.36,646.32,Speaker_0,difference might be that we would just want to have the words and that's not so
EN2001a,646.32,660.34,Speaker_3,"much what he meant was not possibly loading everything was. Yeah, load all the annotation stuff, all the sound files. So what we have is we would have a word."
EN2001a,661.94,668.96,Speaker_4,Like we would have words with some priority levels and that would basically be it already because even the selection would
EN2001a,668.96,676.42,Speaker_0,the summaries automatically feed from just how prioritize an individual order how prioritize an individual utterances or
EN2001a,676.42,683.94,Speaker_4,other summaries sort of refined from that and made by a machine to make sense and stuff or are they just sort of taking out the words
EN2001a,683.94,704.98,Speaker_2,"of the highest priority and then the words. The utterances. Are we doing it on the other level, are we doing it on word level like the information that we're learning on the word that was if you want the audio to sync up, you've got no way of getting in and extracting just that word. I think we have started an"
EN2001a,704.98,706.36,unknown,end time for words that keep it every
EN2001a,706.36,713.92,Speaker_4,"single word. Yeah, but it might but it might sound crazy in the player. We should really maybe we can do that together at some point today that we checked out how the player works."
EN2001a,714.32,720.06,Speaker_2,But there's maybe some merit in all together doing it on the other level. I'm getting quite lost at the
EN2001a,720.06,721.74,unknown,one because what's
EN2001a,721.74,736.04,Speaker_3,"our difference between the importance measure and the skimming. To both or the same thing. Well, the skimming is going to use the importance."
EN2001a,738.62,759.06,Speaker_4,"But when you talk about summaries, you should talk about this about skimming. Well, mostly skimming. But also about the display. I mean, the display in the tech body in the in the latest draft that we had sort of became up with the idea that it isn't displaying utterance patterns, but it's also displaying a summarized version."
EN2001a,759.06,768.12,Speaker_2,"You know, like below the below the graph, the part. Yeah, maybe. Yeah, it isn't bad for skimming."
EN2001a,768.64,774.2,Speaker_4,It's just like there's like audio skimming and there's display skimming.
EN2001a,774.34,781.42,Speaker_2,"Yeah, but it just send data. Yeah, yeah. Maybe there's some merit of going all together"
EN2001a,781.42,789.02,Speaker_4,"for utterance level, not even bothered to calculate. I mean, if you have to do it internally, then you can do it, but maybe like not even store the importance levels for individual"
EN2001a,789.02,827.78,Speaker_2,"words and just sort of rank utterances as a whole. The noise thing about that is that we're actually doing sentences of more or less. Yeah. So it will make more sense. It might be better skimming and less memory required at the same time. And I mean, if you know how to do it for individual words, then you can just in the worst case, if you can't find anything that just sort of make the mean of the words of the utterance. No, what I mean, no, quite. So what did you want to do? You just wanted to sign what's the smallest chunk at the moment? You think of a signing importance measure to the word or is it a utterance? I thought about words. So we're thinking of like maybe just"
EN2001a,827.78,834.12,Speaker_4,storing it on a utterance level. Because it's less stuff to store probably
EN2001a,834.12,841.56,Speaker_2,for Dave in the audio playing and for in the display. It's probably better if you have whole utterances than I don't know what it's
EN2001a,841.56,848.74,Speaker_4,"like if you just take single words out of utterances. It probably doesn't make any sense at all, whereas if you just show important utterances, but the utterances are whole, it makes more sense."
EN2001a,849.14,856.58,Speaker_2,"So it doesn't actually make a difference for your algorithm because it just means that if you work on a word level, then we just mean it over the other sentence. Yeah, I think we"
EN2001a,856.58,858.14,unknown,also thought about
EN2001a,858.14,868.52,Speaker_3,combining that measure with the matterless I get from hotspots and so on. So that would also be on a
EN2001a,868.52,870.14,unknown,"separate. So that's good anyway,"
EN2001a,870.14,878.02,Speaker_1,"because that makes it a lot easier than to put it on an other account. So it's a word level, because otherwise you don't have the currency returns."
EN2001a,879.62,893.66,Speaker_2,"Oh yeah, anyway, I mean like how it just means that it didn't turn, I don't know, but it's probably a you probably have to work on word levels for importance. But there should be ways of easily going from a word level to an utterance level. I reckon you can just, I mean, yeah, yeah. But how about those words"
EN2001a,893.66,903.0,Speaker_0,"which don't carry any meaning at all, the um, and something like that? Because if we ever"
EN2001a,903.0,908.42,Speaker_3,"reach over over a whole utterance, all the words, and they're quite"
EN2001a,908.42,924.0,Speaker_0,"unimportant words in there, but quite important words as well, I think we should just disregard them. Maybe we should have like a cutoff, so word only gets about years above a certain"
EN2001a,924.0,932.98,Speaker_2,threshold. So anything that has less than say 0 .5 importance gets assigned to zero. Or we do a pre filtering of sort of
EN2001a,932.98,939.04,Speaker_4,"the whole sort of like, but that like the problem with that is it's easy to do in the text several, but that would mean it would still play the air"
EN2001a,939.04,944.28,Speaker_2,in your audio unless we sort of also store what pieces we cut out for the audio.
EN2001a,949.24,954.06,Speaker_4,"Yeah, I think before we can like answer that specific question, how we deal"
EN2001a,954.06,976.64,Speaker_2,"with that? It's probably good for us to look at what the audio player is capable of doing. I think the box is, you know, I don't think it would be very hard. I think it would be like an hour to use work. So what do you mean the buffering? Like you think direct just feeding another way, essentially. Yeah, but not stored on the hard disk and the loaded in but loaded in directly from memory."
EN2001a,977.24,984.02,Speaker_1,So just like there's down to like a media wave object or something like that. It's probably a stream if
EN2001a,984.02,990.1,Speaker_2,"it exists each other, it would probably some binary stream going in some type. I know. They must have"
EN2001a,990.1,997.48,Speaker_1,"like classes for dealing with, it was limited classes within casting, as far as you know. Okay, so I mean,"
EN2001a,997.7,999.26,unknown,so that means that that's
EN2001a,999.26,1008.28,Speaker_2,"probably even if you go on a pattern level, there's still some merit on within utterances cutting out stuff which clearly isn't relevant at all. And that may be also for the audio we'd have to do. So let's"
EN2001a,1008.28,1014.24,Speaker_4,"say we play the whole phrase, but then in addition to that, we have some information that says minus that"
EN2001a,1014.24,1020.12,Speaker_2,part of something. That's okay that we can do. But what I think I might try and build is basically a
EN2001a,1020.12,1028.42,Speaker_1,class that you just feed it a linked list of different waveforms that are just stringing them all together. Like maybe
EN2001a,1028.42,1051.5,Speaker_2,"10 to the second silence in between each one. Yeah, maybe even, I mean, that sort of depends on how advanced we get. But if maybe if we realize that there's massive differences in gain or in something, you can probably just make some simple normalization, but that really depends on how much time we have and how much necessary. Yeah, I don't know anything about audio and I have never seen the player. So if you find that the player except"
EN2001a,1051.5,1052.96,unknown,some input
EN2001a,1052.96,1074.04,Speaker_4,"from memory, if it's easy to do, then I guess that's fairly doable. So that means in the general structurally quite lucky. So we have we loaded to memory for the whole series of meetings. Just the utterances and rankings for the utterances. And some information probably that says, well, I guess that goes with the utterances who speaking. Because then we"
EN2001a,1074.04,1079.0,Speaker_2,can also do the display about who speaking. We also really want the other search why he's speaking as well.
EN2001a,1080.1,1080.48,unknown,Yeah.
EN2001a,1083.16,1089.02,Speaker_4,But I'm still confused because I thought like that's just what Jonathan that we can't do like load massive
EN2001a,1089.02,1095.18,Speaker_2,"document of that size. But yeah, because all the calculations done offline."
EN2001a,1099.6,1103.82,Speaker_4,The other element shouldn't be like 50 megabyte in Rammoth and it shouldn't be
EN2001a,1103.82,1107.14,Speaker_2,"massager. Actually, 50, 100 megabyte is quite big."
EN2001a,1115.3,1133.96,Speaker_4,Just thinking what's this thing. So we do get an error message with the project. If we load everything into the project with all the data they load. So we know that doesn't work. So our hope is essentially that we load less into it. Yes. What's this lazy loading thing? Somebody explain lazy
EN2001a,1133.96,1141.94,Speaker_2,loading. It means it works on demand. Only loads when it needs a particular type of file. When it's being answered.
EN2001a,1143.2,1164.0,Speaker_4,"So that is that only by type of file. Like if the same thing is in different files, would it then maybe like, you know, if uptrends are split over three or 10 or 100 different files. Is there a chance maybe that it doesn't try to load the moment memory at the same time, but just. Yeah, I think that's the idea. So why does it"
EN2001a,1164.0,1175.92,Speaker_2,"fail then in the first place? Then it shouldn't ever fail because then it should never. But if you didn't search over the whole car, then you thought. Yeah, but more. Yeah, but it failed right when you load it right. The nut technique"
EN2001a,1175.92,1177.24,unknown,is very interesting.
EN2001a,1180.48,1205.32,Speaker_0,"So just the different baseline, the loaded loads. For example, it loads all the advances and so on, but it doesn't load the discourse acts. And so you can do not be. What else? That's a salaries. And that goes on the line. Let's check that out."
EN2001a,1206.76,1208.66,unknown,I'll probably ask Jonathan about it.
EN2001a,1209.34,1216.46,Speaker_2,"So alternatively, if we realize that we can't do the whole thing in one go, we can probably just process some sort of metadata. You know"
EN2001a,1216.46,1223.78,Speaker_4,what I mean? Like sort of for the whole series. This chunks representing the individual
EN2001a,1223.78,1231.74,Speaker_2,meeting system. Like something that represents the whole series in
EN2001a,1231.74,1238.82,Speaker_4,"a structure very similar to the structure, which we represent individual meetings. But with data sort of always"
EN2001a,1238.82,1247.94,Speaker_2,"combined from the whole series. So instead of having a single utterance that we display, it probably be like that would be representing a"
EN2001a,1247.94,1253.92,Speaker_4,whole. A whole topic of segment in a meeting. So that
EN2001a,1253.92,1262.08,Speaker_0,using the same data. Do you mean that you basically split up the big thing into different summaries?
EN2001a,1262.68,1293.36,Speaker_3,"For example, that you have a very top level summary and separate file. I think in the sense of creating a virtual meeting out of the whole meeting series. That's easy. Just like create a new XML. Yeah, sort of like offline create a virtual meeting, which basically treats the meeting series as if it was a meeting and treats the individual meetings within the series as if they were segments and"
EN2001a,1293.36,1313.62,Speaker_4,"treats the individual segments within meetings as if they were utterances. You know, so we just don't we shift it one level up. And in that way, we could probably use the same algorithm and just like make like one or two if that say, okay, if you are on a whole document, a whole series level and that was a double click, then"
EN2001a,1313.62,1319.96,Speaker_2,"don't just go into that segment, but load a new file or something like it. But in general, use the same algorithm that would"
EN2001a,1319.96,1321.58,unknown,be an alternative if we can't actually load the
EN2001a,1321.58,1329.04,Speaker_4,whole thing and. Because also like even if we maybe this whole like maybe
EN2001a,1329.04,1334.86,Speaker_2,I'm worrying too much about the whole series in one thing display because actually I mean probably users wouldn't
EN2001a,1334.86,1344.04,Speaker_1,view that from two of them. I think it's really that much of a problem because it is too big for even do is just well over the offline stuff. And all we can
EN2001a,1344.04,1350.32,Speaker_2,do is just process their time like the summarization say you want to do 100 options and just
EN2001a,1350.32,1359.06,Speaker_1,"look at the meeting, take a top 100 options each other meeting it scores high and the ones already in the. So"
EN2001a,1359.06,1366.46,Speaker_2,"many so far just replacing and then you only have to process one meeting at a time. Yeah, but I'm still worried like for some of"
EN2001a,1366.46,1374.1,Speaker_4,the display if you actually if you wanted to play like for the whole series the information density levels based
EN2001a,1374.1,1380.12,Speaker_2,on and and the only granularity has a sandwich flat rents that means you have to go through everything.
EN2001a,1380.12,1389.18,Speaker_1,So I think that rents in a series of 70 hours meeting. Maybe we should build a store and mean measure for the segment.
EN2001a,1389.42,1394.96,Speaker_2,"Yeah, and if you make that structurally very similar to the like"
EN2001a,1394.96,1412.94,Speaker_1,one level down like the way how we store in which lot rents and stuff that maybe we can more or less use the same code and just make a few ifs and stuff. So what's still so in general we having we having utterances and they have a score.
EN2001a,1414.82,1419.42,Speaker_4,And that's as much as we really need and
EN2001a,1419.42,1442.98,Speaker_2,"they also have a time time information of course speaker and a speaker information. Yeah, topics. Yes, so in information which topic they are in yeah and and probably separate to that information about the different topics like that. So the skimming"
EN2001a,1442.98,1448.92,Speaker_4,can work on that is the skimming just sort of sorts the utterances and puts as many in as a need.
EN2001a,1448.92,1458.0,Speaker_2,"And so present the order when it's just right. Yeah, yeah, it'll play them in some order in which"
EN2001a,1458.0,1479.02,Speaker_4,"they were said because otherwise it's going to be more entertaining. But that that's enough data for the skimming. Yeah, and the searching and what the searching does is the searching leaves the whole framework goes to the SQL database and gets like basically the end gets just a time mark for. Where that is like that"
EN2001a,1479.02,1501.5,Speaker_2,"are transferred to concern with and then we have to find I'm sure there's some way in. In nightx match just say set position to that time mark and then it shifts the whole frame and it alerts everything element of the display and the display updates. You don't want to do the old tree display as well for multiple. Yeah, yeah, that we can yeah, but so so if if some it's so yeah so if in that three displays and"
EN2001a,1501.5,1509.06,Speaker_4,"we click on something. Yeah, and then you sort of feed the timestamp to a night XML central"
EN2001a,1509.06,1516.42,Speaker_2,manager and that central manager alerts everything that's there like alerts the skim like the audio display alerts the text display alerts
EN2001a,1516.42,1524.16,Speaker_4,the visual display and says we have a new time frame and then they all sort of do the update routines with respect to the current level of zoom. So how much to display
EN2001a,1524.16,1533.2,Speaker_2,and starting position at where there or maybe the mid position of it. I don't know like if you start with the thing was found or if the thing was found
EN2001a,1533.2,1539.18,Speaker_4,is in the middle of the part that we display that I don't know but that we can decide about but in general sort of.
EN2001a,1539.9,1559.94,Speaker_2,"It's the same thing if like whether you play and it moves forward or whether you jump to position through search it's essentially for all the window handling it's the same event. Yeah, it's only that the event gets triggered by the search routine which sort of pushed it into the text and says. Please go there now. So we should basically make our"
EN2001a,1559.94,1568.62,Speaker_1,own. And I got in memory that everyone's module changes that
EN2001a,1568.62,1591.9,Speaker_2,rather than the underlying date and then have that excellent. Why do we have to remember the stuff you can make the information is coming from offline. So we probably we don't even have to change
EN2001a,1591.9,1599.08,Speaker_4,the utterance document right because the whole way like the whole beauty of the night. And the next message that it ties together lots of different files we can just create an additional X male
EN2001a,1599.08,1619.38,Speaker_2,file which for every utterance like the utterance ideas have presumed some references. So we just we tie just very short X male file which is the only information it has it has whatever a number for. For the wait for the information and then we just tie that to the existing utterances and tie them to the existing speaker changes.
EN2001a,1620.26,1621.54,unknown,But there's no idea
EN2001a,1621.54,1629.04,Speaker_3,for nothing. It's just for individual words. So how do we do that? And I know it's
EN2001a,1629.04,1643.4,Speaker_0,"for utterances as well. I think it's just for one. Well, so we have to say that for each other. Yeah."
EN2001a,1644.74,1664.78,Speaker_2,"Well, otherwise we'd probably have to go over it like add some integer that we just increment from top to bottom sort of every utterance as an as an ID. Sometimes or or try to understand how not X and LIDs work and maybe that's a special rule to follow when we use these ideas. I'm pretty sure it's already there."
EN2001a,1670.2,1672.48,Speaker_1,The girl said the utterances have some not
EN2001a,1672.48,1673.48,unknown,numbered at the moment.
EN2001a,1674.6,1682.42,Speaker_0,I'm not quite sure. I've only seen that the individual words have got an ID. So I guess that would be solved with the late night.
EN2001a,1683.48,1688.88,Speaker_3,You always could have a look at the timestamps and then take the ones
EN2001a,1688.88,1696.48,Speaker_0,"that belong together to form an affluent. No, I think you just take the segments"
EN2001a,1696.48,1717.44,Speaker_3,"that are already there. Yeah, that's the segments five. And you know these may as segments. Is there a board mark in the actually? Yeah, that's just like to make a list of all this stuff or we've broken somebody can pay for."
EN2001a,1720.76,1724.64,Speaker_2,So this stuff we have we have utterances
EN2001a,1724.64,1726.16,unknown,and
EN2001a,1726.16,1744.38,Speaker_4,speakers and weights for utterances for every utterance. So the utterance has a speaker and the weight just coming from outside. Or which is tied to it. And there is segments which are the
EN2001a,1744.38,1749.14,unknown,"segments are also sorry. Yeah, that's a topic"
EN2001a,1749.14,1755.8,Speaker_2,"topic segment. I mean, like they are there are super units. So the utterances are tied to topic segments. And"
EN2001a,1755.8,1763.94,Speaker_4,if the timestamps are on a word
EN2001a,1763.94,1769.72,Speaker_2,"level, then you somehow have to extract timestamps for utterances where they start. There are times"
EN2001a,1769.72,1772.16,unknown,for segments.
EN2001a,1774.2,1778.98,Speaker_3,What segments now? The segments are for example when you look at the
EN2001a,1778.98,1801.98,Speaker_0,"data what is displayed in one line. Okay. When you look at the same as utterances. Is that the same as utterances? Well, I think so. Yeah, it may not be exact every time. So I compared it with what I did for the post duration extraction. And basically"
EN2001a,1801.98,1808.96,Speaker_3,"it's words that are added in the sequence without pauses. But sometimes however, there are"
EN2001a,1808.96,1816.34,Speaker_0,short pauses in it and they are indicated by square brackets pauses. So that's one
EN2001a,1816.34,1839.08,Speaker_4,"segment or is that two segments then? Sometimes that the annotators decided what was one segment and what wasn't. Okay. Generally utterances is that which is called, sorry, segments is that which are called utterances now. Like it is sort of like one person's contribution at a time"
EN2001a,1839.08,1859.84,Speaker_2,"sort of beginning. Okay. So yeah, so we have those and then we have some fields somewhere else which has topics. Yeah. And the topics basically they're just an ID probably with a start time or something and the utterances reference to those topics I guess. Yeah. So the topics"
EN2001a,1859.84,1869.06,Speaker_1,don't contain any redundant thing of like showing the whole topic again but they just sort of say a number and where they're starting where they're finished and the utterances and
EN2001a,1869.06,1870.28,unknown,say which topic they belong to.
EN2001a,1870.96,1876.22,Speaker_0,"Yeah, but I think for some annotations,"
EN2001a,1877.02,1892.9,Speaker_3,"an utterance can have several. And types, for example, the dialog, etc. Yeah, and I was thinking of the topic segmentation. And actually people. So that would only be one right because it's sort of like it's just a time window. Yeah."
EN2001a,1896.12,1899.0,Speaker_4,So if this lazy loading works and they should definitely
EN2001a,1899.0,1934.96,Speaker_2,"fit into, I mean not memory then because it wouldn't all be memory at the same time. So if you just have to sort of that information like long list of all the utterances slash segments and like shorter smaller lists which give weight to them. And even though probably if there's a lot of overhead and having two different files, we can probably merge the weights into it offline. You know what I mean? Like if there's a lot of bureaucracy involved with having two different trees and whether one ties to the other person wants to wait for the other than it's probably quicker to just. Well, why don't we just write it as an else file? Can"
EN2001a,1934.96,1944.08,Speaker_1,"I handle just loading arbitrary new, like the tribute and stuff? I always thought it would be easy to. Yeah,"
EN2001a,1944.14,1979.98,Speaker_2,"I thought there was the whole beauty that like you can just make a new XML file and sort of tie that to the other end. So why do we need to have two XML trees and memory at one point? Oh, yeah, so no, I didn't mean tree. No, no, I meant just like handling two different files internally. I was just thinking, you know, like if if the overhead for having the same amount of data coming from two files instead of from one file is massive, then it would probably be for us easy to just like offline, put the weight into into the file that has the segments. Yeah, segments left after and so it's already. But that we can figure out. I mean, if it's going to"
EN2001a,1979.98,1988.92,Speaker_1,"be wrong, the other thing is that would be easy there. And then we can just have a path. As well, which means you wouldn't have to pass anything. It would be quite hard. Yeah, I thought it was going much faster than anything we"
EN2001a,1988.92,1994.94,Speaker_2,"can have there. Yeah, you know, we'd be completely using like the whole infrastructure and basically just"
EN2001a,1994.94,1996.52,unknown,mean the main difference really between
EN2001a,1996.52,2004.0,Speaker_4,"our projects and this really is that. We load a different part of the data, but otherwise we're doing it the same way that they are doing"
EN2001a,2004.0,2011.1,Speaker_2,"it. So we just we're sort of running different types of queries on it. In a sense, we are running queries is not just about"
EN2001a,2011.1,2018.82,Speaker_4,"what we load and what we don't know, but we are running queries in the sense that we dynamically select by by weights. Don't they?"
EN2001a,2019.8,2028.12,Speaker_2,"Let me have to check how fast that is like to say give us all the ones that whether that works with the query language, whether that's too many results and whether we should."
EN2001a,2029.74,2033.7,Speaker_4,"No, because if it let's say I mean if if their query language is strange and"
EN2001a,2033.7,2071.42,Speaker_2,"if it would return the 10 million results and it can't handle it, then we can just write our individual components in the way that they know what the threshold is. So they still get all the data and she's saying to only say, oh no, this is less than three and I'm not going to play or something. Yeah, I mean process it in just process it all in chunks. Yeah, I'm just thinking for this whole thing of like a different level sort of cutting out different different pieces, whether we do that through a query where we say give us everything that's above this in this weight or whether we just keep the same infrastructure"
EN2001a,2071.42,2072.98,unknown,but every individual module like
EN2001a,2072.98,2078.88,Speaker_4,"the player and the display say like they still get sort of all the different utterances, all the different pieces,"
EN2001a,2079.02,2084.98,Speaker_2,"but they say, oh, this piece I leave out because it's below the current threshold level. I think we probably want to store,"
EN2001a,2085.02,2093.98,Speaker_1,"sorry, I think we probably want to store a higher up called information density as well, like an information"
EN2001a,2093.98,2099.98,Speaker_2,density score for each meeting and each topic segment otherwise will be recalculating the same
EN2001a,2099.98,2107.38,Speaker_1,"thing over and over again. Yeah, I've been much more efficient. And that will obviously make much easier."
EN2001a,2108.38,2108.96,unknown,When do
EN2001a,2108.96,2116.54,Speaker_2,"we need the one for the meat? Well, maybe not the whole meeting, but like, yeah, I guess for the so when we have to display"
EN2001a,2116.54,2124.06,Speaker_4,"where we display the whole serious, then if we have for the individual topic segment within the meetings, we have ready calculated measures that"
EN2001a,2124.06,2133.06,Speaker_2,"we don't have to sort of extract that data from the individual utterances. Yeah, and that's also fairly it's just or long with our segments. For the segments, are we extracting some"
EN2001a,2133.06,2138.92,Speaker_4,type of title for them that we craft with some fancy algorithm manually? Are we just taking the
EN2001a,2138.92,2144.98,Speaker_2,"single most highly valued keyword utterance for the segment heading? Well, we"
EN2001a,2144.98,2153.12,Speaker_1,"can start off by that. I was going to start off with some half -experience, one that does just the idea."
